,Product Name,Prices,Review
0,Under Armour Men's Charged Assert 9 Running Shoe,$54.99,4.6 out of 5 stars
1,Skechers Men's Afterburn M. Fit,$51.09,4.4 out of 5 stars
2,PUMA Men's Tazon 6 Sneaker,$40.99,4.5 out of 5 stars
3,"Skechers Men's Relaxed Fit: Braver - Rayland, Black",$72.95,4.6 out of 5 stars
4,Skechers Men's Moreno Canvas Oxford Shoe,$49.20,4.4 out of 5 stars
5,Men's Surge 3 Running Shoe,$49.99,4.6 out of 5 stars
6,Under Armour Men's Charged Commit Tr 3 Cross Trainer,$64.97,4.5 out of 5 stars
7,Men's Charged Assert 10,$64.99,4.5 out of 5 stars
8,Men's Fusion Grip Extra Wide,$40.99,4.6 out of 5 stars
9,Steve Madden Men's Fenta Fashion Sneaker,$59.79,4.3 out of 5 stars
10,adidas Men's S2G Sl Boa Golf Shoes,$54.98,4.6 out of 5 stars
11,PUMA Men's Cell Surin 2 Sneaker,$79.95,4.4 out of 5 stars
12,Under Armour Men's Charged Pursuit 3 Running Shoe,$47.97,4.4 out of 5 stars
13,Clarks Men's Bushacre 2 Chukka Boot,$43.40,4.3 out of 5 stars
14,Cole Haan Men's Grand Crosscourt Modern Perforated Sneaker,$55.96,4.6 out of 5 stars
15,Dockers Men's Overton Oxford,$40.43,4.2 out of 5 stars
16,Skechers Men's Energy Afterburn,$62.22,4.5 out of 5 stars
17,Men's Sync Oxford,$65.00,4.3 out of 5 stars
18,Under Armour Men's Charged Verssert Speckle Running Shoe,$42.33,4.5 out of 5 stars
19,Clarks Men's Tilden Cap Oxford,$44.39,4.5 out of 5 stars
20,Skechers Men's Gowalk Flex-Athletic Slip-on Casual Walking Shoes with Air Cooled Foam Sneakers,$46.69,4.5 out of 5 stars
21,Lugz Men's Lear Classic Fashion Sneaker,$22.94,4.4 out of 5 stars
22,Skechers Men's Go Walk Evolution Ultra-Impeccable Sneaker,$52.41,4.6 out of 5 stars
23,Under Armour Men's Charged Escape 4 Running Shoe,$79.95,4.5 out of 5 stars
24,Skechers Men's Relaxed Fit-Creston-Moseco,$43.57,4.7 out of 5 stars
25,Skechers Men's Afterburn M. Fit Wonted Loafer,$62.00,4.5 out of 5 stars
26,Lugz Men's Clipper Classic Slip-On Fashion Sneaker,$29.95,4.3 out of 5 stars
27,Clarks Men's Bradley Vibe Oxford,$50.31,4.5 out of 5 stars
28,Men's Oxford,$254.68,5.0 out of 5 stars
29,Under Armour Men's Charged Decoy Running Shoe,$85.00,4.4 out of 5 stars
30,"Nike Men's Sneaker,Running Shoes",N/A,4.5 out of 5 stars
31,S2G Spikeless 23 Golf Shoes,N/A,4.6 out of 5 stars
32,Men's Lite Racer Adapt 5.0 Running Shoe,N/A,4.5 out of 5 stars
33,"Dr. Scholl's Prevent Pain Protective Insoles, Protect Against Foot, Knee, Lower Back Pain, Promote Foot Health & Wellness, Trim to Fit Insert, Women Shoe Size 6-10, 1 Pair",$14.43,4.3 out of 5 stars
34,Men's Findlay Industrial & Construction Shoe,$149.99,4.2 out of 5 stars
35,Men's Grapple Slip-Resistant Food Service Shoe,$45.62,4.1 out of 5 stars
36,Deer Stags Men's Marco Oxford,$54.99,4.0 out of 5 stars
37,Skechers Men's Summits High Range Hands Free Slip-in Sneaker,$69.99,4.6 out of 5 stars
38,ASICS Men's Gel-Dedicate 8 Tennis Shoes,N/A,4.3 out of 5 stars
39,Skechers Men's Expected Avillo Relaxed-Fit Slip-On Loafer,$52.50,4.6 out of 5 stars
40,PUMA Men's Axelion Ridge Cross-Trainer,$64.95,4.5 out of 5 stars
41,MOZO Men's Slip Resistant Chef Natural Shoes,$107.48,4.3 out of 5 stars
42,Men's Rambler Waterproof Slip on Rain Shoe,$65.32,N/A
43,Deer Stags Men's Greenpoint Dress Comfort Slip-on Loafer,$40.00,4.1 out of 5 stars
44,Rockport Men's M7100 Prowalker,$70.00,4.4 out of 5 stars
45,Cole Haan Men's 2.Zerogrand Laser Wing Oxford,$159.95,4.7 out of 5 stars
46,Altra Men's Paradigm 6 Road Running Shoe,$89.95,4.4 out of 5 stars
47,Clarks Men's Cotrell Free Loafer,$69.99,4.5 out of 5 stars
48,STACY ADAMS Men's Beau Moc Toe Bit Slip-On Loafer,$52.50,4.3 out of 5 stars
49,Men's Flexway Step Moccasin,$55.77,N/A
50,Men's Fusion Pro Extra Wide,$59.37,4.5 out of 5 stars
51,adidas Men's Low-Top Sneaker,N/A,4.6 out of 5 stars
52,DC Men's Court Graffik Casual Low Top Skate Shoe Sneaker,$65.00,4.7 out of 5 stars
53,Skechers Men's Cankton Steel Toe Construction Shoe,$49.95,4.4 out of 5 stars
54,Skechers Men's Ultra Flex 3.0 Right Away Hands Free Slip-in Sneaker Loafer,$63.42,4.6 out of 5 stars
55,Clarks Men's Shacre Boot Ankle,$69.26,4.6 out of 5 stars
56,"Nunn Bush Men's, Centro Flex Plain Toe Oxford",$79.95,4.2 out of 5 stars
57,"Nunn Bush Men's, KORE Pro Plain Toe Oxford",$74.95,4.3 out of 5 stars
58,Men's Stagger Lo Slip-Resistant Food Service Shoe,$54.99,4.1 out of 5 stars
59,Men's Rubano Wingtip Oxford,$92.86,4.5 out of 5 stars
60,Men's Oxford,$254.68,5.0 out of 5 stars
61,Men's Findlay Industrial & Construction Shoe,$149.99,4.2 out of 5 stars
62,Shoes for Crews Andy Sneaker,$63.41,4.2 out of 5 stars
63,"Propper Men's F45351T Fire and Safety Shoe, Black, 11.5",$104.99,N/A
64,Merrell Men's Moab Adventure MOC Hiking Shoe,N/A,4.5 out of 5 stars
65,Brooks Men’s Launch 9 Neutral Running Shoe,$54.39,4.5 out of 5 stars
66,Skechers Men's Ultra Flex 3.0 Smooth Step Hands Free Slip-ins Loafer,$89.99,4.6 out of 5 stars
67,PUMA Men's Softride Enzo Nxt Running Shoe,$55.45,4.5 out of 5 stars
68,Dockers Men's Edson Slip-On Loafer,$49.95,4.3 out of 5 stars
69,DC Men's Pure Low Top Lace Up Casual Skate Shoe Sneaker,$53.73,4.5 out of 5 stars
70,Dockers mens Beacon,$45.98,4.3 out of 5 stars
71,Men's Charged Impulse 3 Knit Running Shoe,$49.42,4.0 out of 5 stars
72,Clarks Men's Eastford Low Oxford,$51.77,4.5 out of 5 stars
73,Columbia Men's Crestwood Hiking Shoe,$64.00,4.6 out of 5 stars
74,ASICS Men's Gel-Contend 7 Running Shoe,N/A,4.5 out of 5 stars
75,DC Men's Anvil Casual Skate Shoe,$49.91,4.6 out of 5 stars
76,"Nunn Bush Men's, Kore City Walk LTT Sneaker",$40.00,4.4 out of 5 stars
77,Merrell Men's Moab 3 Mid Hiking Boot,$74.99,4.6 out of 5 stars
